Time(s),X,Y,Z,Pitch,Yaw,FL,FR,RL,RR,Vx,Vy,Vz,Speed
9.7,53.331326743272825,135.37362958790126,98.5,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
9.8,53.881134235471514,136.7692340166425,99.0,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
9.9,54.4309417276702,138.16483844538377,99.5,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
10.0,54.98074921986889,139.56044287412502,100.0,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
10.1,55.53055671206758,140.95604730286627,100.5,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
10.2,56.08036420426627,142.35165173160752,101.0,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
10.3,56.630171696464956,143.74725616034877,101.5,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
10.4,57.179979188663644,145.14286058909002,102.0,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
10.5,57.72978668086233,146.53846501783127,102.5,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
10.6,58.27959417306102,147.93406944657252,103.0,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
10.7,58.82940166525971,149.32967387531377,103.5,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
10.8,59.3792091574584,150.72527830405502,104.0,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
10.9,59.929016649657086,152.12088273279628,104.5,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
11.0,60.478824141855775,153.51648716153753,105.0,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
11.1,61.02863163405446,154.91209159027878,105.5,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
11.2,61.57843912625315,156.30769601902003,106.0,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
11.3,62.12824661845184,157.70330044776128,106.5,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
11.4,62.67805411065053,159.09890487650253,107.0,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
11.5,63.22786160284922,160.49450930524378,107.5,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
11.6,63.777669095047905,161.89011373398503,108.0,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
11.7,64.3274765872466,163.28571816272628,108.5,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
11.8,64.87728407944529,164.68132259146753,109.0,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
11.9,65.42709157164398,166.07692702020879,109.5,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
12.0,65.97689906384268,167.47253144895004,110.0,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
12.1,66.52670655604138,168.8681358776913,110.5,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
12.2,67.07651404824007,170.26374030643254,111.0,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
12.3,67.62632154043877,171.6593447351738,111.5,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
12.4,68.17612903263746,173.05494916391504,112.0,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
12.5,68.72593652483616,174.4505535926563,112.5,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
12.6,69.27574401703485,175.84615802139754,113.0,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
12.7,69.82555150923355,177.2417624501388,113.5,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
12.8,70.37535900143224,178.63736687888004,114.0,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
12.9,70.92516649363094,180.0329713076213,114.5,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
13.0,71.47497398582964,181.42857573636255,115.0,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
13.1,72.02478147802833,182.8241801651038,115.5,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
13.2,72.57458897022703,184.21978459384505,116.0,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
13.3,73.12439646242572,185.6153890225863,116.5,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
13.4,73.67420395462442,187.01099345132755,117.0,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
13.5,74.22401144682311,188.4065978800688,117.5,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
13.6,74.77381893902181,189.80220230881005,118.0,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
13.7,75.3236264312205,191.1978067375513,118.5,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
13.8,75.8734339234192,192.59341116629255,119.0,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
13.9,76.4232414156179,193.9890155950338,119.5,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
14.0,76.97304890781659,195.38462002377506,120.0,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
14.1,77.52285640001529,196.7802244525163,120.5,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
14.2,78.07266389221398,198.17582888125756,121.0,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
14.3,78.62247138441268,199.5714333099988,121.5,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
14.4,79.17227887661137,200.96703773874006,122.0,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
14.5,79.72208636881007,202.3626421674813,122.5,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
14.6,80.27189386100876,203.75824659622256,123.0,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
14.7,80.82170135320746,205.1538510249638,123.5,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
14.8,81.37150884540615,206.54945545370506,124.0,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
14.9,81.92131633760485,207.94505988244632,124.5,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
15.0,82.47112382980355,209.34066431118757,125.0,-0.14,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
15.1,83.02093132200224,210.73626873992882,125.5,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
15.2,83.57073881420094,212.13187316867007,126.0,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
15.3,84.12054630639963,213.52747759741132,126.5,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
15.4,84.67035379859833,214.92308202615257,127.0,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
15.5,85.22016129079702,216.31868645489382,127.5,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
