Time(s),X,Y,Z,Pitch,Yaw,FL,FR,RL,RR,Vx,Vy,Vz
2.4,25.45584412271572,25.45584412271572,46.451407999999994,-0.04,0.79,3240,3240,3240,3240,10.61,10.61,1.58
2.5,26.516504294495544,26.516504294495544,46.681599199999994,-0.04,0.79,3300,3300,3300,3300,10.61,10.61,2.3
2.6,27.577164466275367,27.577164466275367,46.990711327999996,-0.04,0.79,3360,3360,3360,3360,10.61,10.61,3.09
2.7,28.63782463805519,28.63782463805519,47.385123007999994,-0.03,0.79,3420,3420,3420,3420,10.61,10.61,3.94
2.8,29.698484809835012,29.698484809835012,47.85845561599999,-0.03,0.79,3360,3360,3360,3360,10.61,10.61,4.73
2.9,30.759144981614835,30.759144981614835,48.35845561599999,-0.02,0.79,3300,3300,3300,3300,10.61,10.61,5.0
3.0,31.819805153394658,31.819805153394658,48.85845561599999,-0.02,0.79,3240,3240,3240,3240,10.61,10.61,5.0
3.1,32.88046532517448,32.88046532517448,49.35845561599999,-0.01,0.79,3180,3180,3180,3180,10.61,10.61,5.0
3.2,33.9411254969543,33.9411254969543,49.85845561599999,-0.01,0.79,3120,3120,3120,3120,10.61,10.61,5.0
3.3,35.00178566873412,35.00178566873412,50.35845561599999,-0.0,0.79,3060,3060,3060,3060,10.61,10.61,5.0
3.4,36.062445840513945,36.062445840513945,50.85845561599999,0.0,0.79,3000,3000,3000,3000,10.61,10.61,5.0
3.5,37.12310601229377,37.12310601229377,51.35845561599999,0.01,0.79,2940,2940,2940,2940,10.61,10.61,5.0
3.6,38.18376618407359,38.18376618407359,51.85845561599999,0.02,0.79,2880,2880,2880,2880,10.61,10.61,5.0
3.7,39.24442635585341,39.24442635585341,52.35845561599999,0.02,0.79,2820,2820,2820,2820,10.61,10.61,5.0
3.8,40.305086527633236,40.305086527633236,52.85845561599999,0.03,0.79,2760,2760,2760,2760,10.61,10.61,5.0
3.9,41.36574669941306,41.36574669941306,53.35845561599999,0.04,0.79,2700,2700,2700,2700,10.61,10.61,5.0
4.0,42.42640687119288,42.42640687119288,53.85845561599999,0.05,0.79,2640,2640,2640,2640,10.61,10.61,5.0
4.1,43.487067042972704,43.487067042972704,54.35845561599999,0.06,0.79,2580,2580,2580,2580,10.61,10.61,5.0
4.2,44.54772721475253,44.54772721475253,54.85845561599999,0.06,0.79,2520,2520,2520,2520,10.61,10.61,5.0
4.3,45.60838738653235,45.60838738653235,55.35524470399999,0.07,0.79,2460,2460,2460,2460,10.61,10.61,4.97
4.4,46.66904755831217,46.66904755831217,55.844250591999995,0.08,0.79,2400,2400,2400,2400,10.61,10.61,4.89
4.5,47.729707730091995,47.729707730091995,56.321013887999996,0.09,0.79,2340,2340,2340,2340,10.61,10.61,4.77
4.6,48.79036790187182,48.79036790187182,56.781188095999994,0.1,0.79,2280,2280,2280,2280,10.61,10.61,4.6
4.7,49.85102807365164,49.85102807365164,57.220539615999996,0.11,0.79,2220,2220,2220,2220,10.61,10.61,4.39
4.8,50.91168824543146,50.91168824543146,57.634947743999994,0.12,0.79,2160,2160,2160,2160,10.61,10.61,4.14
4.9,51.972348417211286,51.972348417211286,58.02040467199999,0.13,0.79,2100,2100,2100,2100,10.61,10.61,3.85
5.0,53.03300858899111,53.03300858899111,58.37301548799999,0.14,0.79,2040,2040,2040,2040,10.61,10.61,3.53
5.1,54.09366876077093,54.09366876077093,58.68899817599999,0.16,0.79,1980,1980,1980,1980,10.61,10.61,3.16
